image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.6368495396205357,0.9981740718198417,0.07300407309310246,0.037884913026403934,0.03788753869611422,0.9999579843701857
image021-roi6,0.5332118443080357,0.35942947702060224,0.04064297618407613,0.02074301706634473,0.02153927974471965,0.9674242424242424
image023-roi1,0.6672712053571429,0.8910543130990415,0.1275321230966208,0.0681091113336101,0.06868104806934594,0.99539686825054
image023-roi2,0.5985630580357143,0.8636953699697101,0.0797889350815478,0.04155216920642851,0.041826449571467486,0.9952961906610719
image023-roi3,0.5275006975446429,0.4692760942760943,0.039524991137894365,0.02016092577524636,0.02063133742876175,0.9792065167205329
image023-roi4,0.5121721540178571,0.2825923134890731,0.026110569558557305,0.013227979822921444,0.013687630032485309,0.9682105052258991
image032-roi3,0.7839617047991071,0.4009249891602833,0.18295136026380876,0.10068600050814852,0.11851661967017005,0.954591266624307
image032-roi4,0.5999755859375,0.26007570696949456,0.04845065748537769,0.02482676529354249,0.026713628982457747,0.9531740999084055
image033-roi1,0.5281284877232143,0.4269742860046753,0.13438899552143313,0.07203484284709957,0.07974412027106546,0.9090747818794652
image033-roi2,0.60797119140625,0.21942900454775138,0.07172499225766492,0.037196453809584994,0.042868777610503714,0.9166902614299774
image034-roi1,0.7900652204241071,0.6285243500549249,0.221891865688524,0.1247909850963286,0.13472783642714178,0.977255148138599
image034-roi2,0.6075526646205357,0.2948799660080731,0.10980795474773046,0.05809354399916292,0.06746542882834715,0.9097374253817598
image038-roi4,0.7278965541294643,0.05617088607594937,0.004529650068582729,0.002269966110365113,0.002359980056506565,0.9858988451946149
image038-roi5,0.6999773297991071,0.19875776397515527,0.020049554296129635,0.010126290958257818,0.010557255113670446,0.982555995377769
image038-roi6,0.7627214704241071,0.5513698630136986,0.03428084743958267,0.017439341421143846,0.01769036369629711,0.9955026606396978
image039-roi1,0.5995221819196429,0.584952380952381,0.11795206636964205,0.06267219036346197,0.06558882576566571,0.9678926119117084
image039-roi2,0.5107596261160714,0.16901180656639173,0.0359106529209622,0.01828361473186948,0.020089586096852952,0.9180163073830001
image039-roi3,0.428955078125,0.18930957683741648,0.030207901439317657,0.015335578542217945,0.016413491246138,0.916869671132765
image061-roi2,0.7130650111607143,0.12614308768154922,0.053932842686292545,0.027713762335283342,0.03429866900687436,0.9256010991527365
image061-roi3,0.6206229073660714,0.16746302616609784,0.0633745210315581,0.03272420079142768,0.03908241291418862,0.9049906522642294
image061-roi4,0.6855555943080357,0.1779976866726642,0.07133108438699044,0.036984618671224094,0.0446026020868221,0.923525754459802
image061-roi5,0.71197509765625,0.12995263948249972,0.06377008757758694,0.03293518355875637,0.04225193419965447,0.9144693511389703
image062-roi1,0.7579258510044643,0.10655446248666588,0.06082338215892561,0.031365571139487826,0.0425582276084075,0.9194348253601813
image062-roi2,0.74981689453125,0.17023161625110744,0.08571519612529076,0.044776616286037685,0.05727791499872242,0.9281187641163958
